#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu Jul 19 16:26:23 2018

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       klmscint_top_map.ncd
#OUTPUT FILE:      klmscint_top_pad.csv
#PART TYPE:        xc6slx150t
#SPEED GRADE:      -3
#PACKAGE:          fgg676
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
F1,TDC12_TRG<0>,IOB,IO_L66N_M4LDQSN_4,INPUT,LVCMOS25*,4,,,,NONE,,LOCATED,NO,NONE,
F2,,,GND,,,,,,,,,,,,
F3,BUSA_RD_COLSEL_S<1>,IOB,IO_L66P_M4LDQS_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
F4,,,VCCO_4,,,4,,,,,2.50,,,,
F5,,IOBS,IO_L5N_0,UNUSED,,0,,,,,,,,,
F6,,IOBS,IO_L3N_0,UNUSED,,0,,,,,,,,,
F7,,IOBM,IO_L3P_0,UNUSED,,0,,,,,,,,,
F8,,,VCCO_0,,,0,,,,,3.30,,,,
F9,,IOBM,IO_L15P_0,UNUSED,,0,,,,,,,,,
F10,,IOBM,IO_L23P_0,UNUSED,,0,,,,,,,,,
F11,,IOBS,IO_L30N_0,UNUSED,,0,,,,,,,,,
F12,,IOBM,IO_L31P_0,UNUSED,,0,,,,,,,,,
F13,,,VCCO_0,,,0,,,,,3.30,,,,
F14,RAM_IO<4>,IOB,IO_L40P_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
F15,RAM_IO<1>,IOB,IO_L50N_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
F16,RAM_A<0>,IOB,IO_L49P_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
F17,RAM_A<13>,IOB,IO_L56N_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
F18,RAM_A<8>,IOB,IO_L51P_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
F19,RAM_A<20>,IOB,IO_L64N_SCP4_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
F20,RAM_A<17>,IOB,IO_L57P_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
F21,,,TMS,,,,,,,,,,,,
F22,PCLK<1>,IOB,IO_L6P_M5A10_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,LOCATED,NO,NONE,
F23,SSTIN_P<0>,IOB,IO_L14P_M5RASN_5,OUTPUT,BLVDS_25,5,,,,,,LOCATED,NO,NONE,
F24,SAMPLESEL_ANY<1>,IOB,IO_L18P_M5LDQS_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,LOCATED,NO,NONE,
F25,,,GND,,,,,,,,,,,,
F26,TDC6_TRG<0>,IOB,IO_L18N_M5LDQSN_5,INPUT,LVCMOS25*,5,,,,NONE,,LOCATED,NO,NONE,
G1,SSTIN_N<5>,IOB,IO_L65N_M4DQ3_4,OUTPUT,BLVDS_25,4,,,,,,LOCATED,NO,NONE,
G2,SSTIN_P<5>,IOB,IO_L65P_M4DQ2_4,OUTPUT,BLVDS_25,4,,,,,,LOCATED,NO,NONE,
G3,SCLK<0>,IOB,IO_L77N_M4BA2_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
G4,PCLK<2>,IOB,IO_L77P_M4WE_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
G5,,,VCCAUX,,,,,,,,2.5,,,,
G6,,IOBM,IO_L5P_0,UNUSED,,0,,,,,,,,,
G7,,IOBS,IO_L1N_VREF_0,UNUSED,,0,,,,,,,,,
G8,,IOBS,IO_L2N_0,UNUSED,,0,,,,,,,,,
G9,,IOBS,IO_L13N_0,UNUSED,,0,,,,,,,,,
G10,,IOBS,IO_L21N_0,UNUSED,,0,,,,,,,,,
G11,,IOBS,IO_L32N_0,UNUSED,,0,,,,,,,,,
G12,,IOBM,IO_L30P_0,UNUSED,,0,,,,,,,,,
G13,,IOBS,IO_L33N_0,UNUSED,,0,,,,,,,,,
G14,,,GND,,,,,,,,,,,,
G15,RAM_IO<0>,IOB,IO_L50P_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
G16,RAM_A<15>,IOB,IO_L56P_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
G17,RAM_A<12>,IOB,IO_L58N_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
G18,,,VCCO_0,,,0,,,,,3.30,,,,
G19,RAM_WEn,IOB,IO_L64P_SCP5_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
G20,BUSB_DIN_DAC,IOB,IO_L1N_A24_VREF_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
G21,,,TDO,,,,,,,,,,,,
G22,,,VCCO_5,,,5,,,,,2.50,,,,
G23,PCLK<9>,IOB,IO_L6N_M5A4_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,LOCATED,NO,NONE,
G24,SSTIN_N<0>,IOB,IO_L14N_M5CASN_5,OUTPUT,BLVDS_25,5,,,,,,LOCATED,NO,NONE,
G25,WL_CLK_P<5>,IOB,IO_L20P_M5DQ0_5,OUTPUT,BLVDS_25,5,,,,,,LOCATED,YES,NONE,
G26,WL_CLK_N<5>,IOB,IO_L20N_M5DQ1_5,OUTPUT,BLVDS_25,5,,,,,,LOCATED,YES,NONE,
H1,SR_CLOCK<2>,IOB,IO_L64N_M4DQ1_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
H2,,,VCCO_4,,,4,,,,,2.50,,,,
H3,SIN<0>,IOB,IO_L64P_M4DQ0_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
H4,,,GND,,,,,,,,,,,,
H5,TDC4_TRG<0>,IOB,IO_L83N_VREF_4,INPUT,LVCMOS25*,4,,,,NONE,,LOCATED,NO,NONE,
H6,BUS_REGCLR,IOB,IO_L83P_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
H7,,IOBM,IO_L1P_HSWAPEN_0,UNUSED,,0,,,,,,,,,
H8,,IOBM,IO_L2P_0,UNUSED,,0,,,,,,,,,
H9,,IOBM,IO_L13P_0,UNUSED,,0,,,,,,,,,
H10,,IOBM,IO_L21P_0,UNUSED,,0,,,,,,,,,
H11,,,VCCO_0,,,0,,,,,3.30,,,,
H12,,IOBM,IO_L33P_0,UNUSED,,0,,,,,,,,,
H13,RAM_A<16>,IOB,IO_L39N_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
H14,RAM_IO<3>,IOB,IO_L41N_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
H15,RAM_OEn,IOB,IO_L43N_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
H16,,,VCCO_0,,,0,,,,,3.30,,,,
H17,RAM_A<11>,IOB,IO_L58P_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
H18,RAM_A<19>,IOB,IO_L62P_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
H19,RAM_CE2,IOB,IO_L62N_VREF_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
H20,BUSA_DIN_DAC,IOB,IO_L1P_A25_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
H21,SCL_MON,IOB,IO_L5P_M5A8_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
H22,BUSA_SCK_DAC,IOB,IO_L5N_M5A9_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
H23,,,GND,,,,,,,,,,,,
H24,SAMPLESEL_ANY<9>,IOB,IO_L19P_M5DQ2_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,LOCATED,NO,NONE,
H25,,,VCCO_5,,,5,,,,,2.50,,,,
H26,TDC10_TRG<0>,IOB,IO_L19N_M5DQ3_5,INPUT,LVCMOS25*,5,,,,NONE,,LOCATED,NO,NONE,
J1,BUSB_SR_SEL,IOB,IO_L63N_M4DQ9_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
J2,BUSB_DO<10>,IOB,IO_L63P_M4DQ8_4,INPUT,LVCMOS25*,4,,,,NONE,,LOCATED,NO,NONE,
J3,SIN<1>,IOB,IO_L69N_M4LDM_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
J4,SAMPLESEL_ANY<7>,IOB,IO_L69P_M4UDM_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
J5,SR_CLOCK<1>,IOB,IO_L73N_M4CLKN_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
J6,,,VCCO_4,,,4,,,,,2.50,,,,
J7,,IOBS,IO_L78N_M4A4_4,UNUSED,,4,,,,,,,,,
J8,,,GND,,,,,,,,,,,,
J9,BUSA_DO<13>,IOB,IO_L78P_M4A10_4,INPUT,LVCMOS25*,4,,,,NONE,,LOCATED,NO,NONE,
J10,,,VCCAUX,,,,,,,,2.5,,,,
J11,,IOBM,IO_L32P_0,UNUSED,,0,,,,,,,,,
J12,,IOBS,IO_L38N_VREF_0,UNUSED,,0,,,,,,,,,
J13,RAM_A<21>,IOB,IO_L39P_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
J14,,,VCCO_0,,,0,,,,,3.30,,,,
J15,RAM_CE1n,IOB,IO_L43P_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
J16,RAM_A<14>,IOB,IO_L48P_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
J17,RAM_A<10>,IOB,IO_L48N_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
J18,,,VCCAUX,,,,,,,,2.5,,,,
J19,,,GND,,,,,,,,,,,,
J20,EX_TRIGGER_MB,IOB,IO_L7P_M5WE_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
J21,,,VCCO_5,,,5,,,,,2.50,,,,
J22,,IOBS,IO_L7N_M5BA2_5,UNUSED,,5,,,,,,,,,
J23,,IOBM,IO_L15P_M5UDM_5,UNUSED,,5,,,,,,,,,
J24,,IOBS,IO_L15N_M5LDM_5,UNUSED,,5,,,,,,,,,
J25,WL_CLK_P<0>,IOB,IO_L22P_M5DQ10_5,OUTPUT,BLVDS_25,5,,,,,,LOCATED,YES,NONE,
J26,WL_CLK_N<0>,IOB,IO_L22N_M5DQ11_5,OUTPUT,BLVDS_25,5,,,,,,LOCATED,YES,NONE,
K1,BUSB_DO<14>,IOB,IO_L62N_M4DQ11_4,INPUT,LVCMOS25*,4,,,,NONE,,LOCATED,NO,NONE,
K2,,,GND,,,,,,,,,,,,
K3,BUSA_RD_COLSEL_S<2>,IOB,IO_L62P_M4DQ10_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
K4,,,VCCO_4,,,4,,,,,2.50,,,,
K5,SAMPLESEL_ANY<3>,IOB,IO_L73P_M4CLK_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
K6,BUSA_SAMPLESEL_S<2>,IOB,IO_L82N_M4A14_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
K7,BUSA_DO<14>,IOB,IO_L82P_M4A13_4,INPUT,LVCMOS25*,4,,,,NONE,,LOCATED,NO,NONE,
K8,BUSA_DO<9>,IOB,IO_L80N_M4A12_4,INPUT,LVCMOS25*,4,,,,NONE,,LOCATED,NO,NONE,
K9,BUSA_DO<12>,IOB,IO_L80P_M4CKE_4,INPUT,LVCMOS25*,4,,,,NONE,,LOCATED,NO,NONE,
K10,BUSA_WR_ADDRCLR,IOB,IO_L76N_M4A2_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
K11,,,VCCINT,,,,,,,,1.2,,,,
K12,,IOBM,IO_L38P_0,UNUSED,,0,,,,,,,,,
K13,,,VCCAUX,,,,,,,,2.5,,,,
K14,RAM_IO<2>,IOB,IO_L41P_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
K15,,,VCCAUX,,,,,,,,2.5,,,,
K16,,,GND,,,,,,,,,,,,
K17,,,VCCINT,,,,,,,,1.2,,,,
K18,control_fake,IOB,IO_L3P_M5RESET_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
K19,BUSB_SCK_DAC,IOB,IO_L3N_M5A11_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,UNLOCATED,NO,NONE,
K20,,IOBS,IO_L9N_M5BA1_5,UNUSED,,5,,,,,,,,,
K21,,IOBM,IO_L12P_M5A3_5,UNUSED,,5,,,,,,,,,
K22,,IOBS,IO_L12N_M5ODT_5,UNUSED,,5,,,,,,,,,
K23,,,VCCO_5,,,5,,,,,2.50,,,,
K24,,IOBM,IO_L21P_M5DQ8_5,UNUSED,,5,,,,,,,,,
K25,,,GND,,,,,,,,,,,,
K26,,IOBS,IO_L21N_M5DQ9_5,UNUSED,,5,,,,,,,,,
L1,SR_CLOCK<3>,IOB,IO_L61N_M4UDQSN_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
L2,BUSB_DO<9>,IOB,IO_L61P_M4UDQS_4,INPUT,LVCMOS25*,4,,,,NONE,,LOCATED,NO,NONE,
L3,SAMPLESEL_ANY<4>,IOB,IO_L71N_M4A6_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
L4,WR1_ENA<0>,IOB,IO_L71P_M4A5_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
L5,,,VCCAUX,,,,,,,,2.5,,,,
L6,SR_CLOCK<0>,IOB,IO_L74N_M4A1_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
L7,BUSA_SAMPLESEL_S<1>,IOB,IO_L74P_M4A0_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
L8,BUSA_DO<15>,IOB,IO_L70N_M4CASN_4,INPUT,LVCMOS25*,4,,,,NONE,,LOCATED,NO,NONE,
L9,BUSA_DO<11>,IOB,IO_L70P_M4RASN_4,INPUT,LVCMOS25*,4,,,,NONE,,LOCATED,NO,NONE,
L10,PCLK<3>,IOB,IO_L76P_M4A7_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCINT,,,,,,,,1.2,,,,
L13,,,GND,,,,,,,,,,,,
L14,,,VCCINT,,,,,,,,1.2,,,,
L15,,,GND,,,,,,,,,,,,
L16,,,VCCINT,,,,,,,,1.2,,,,
L17,,,GND,,,,,,,,,,,,
L18,,,VCCAUX,,,,,,,,2.5,,,,
L19,SDA_MON,IOB,IO_L9P_M5BA0_5,BIDIR,LVCMOS25*,5,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
L20,,IOBM,IO_L27P_5,UNUSED,,5,,,,,,,,,
L21,,IOBS,IO_L27N_5,UNUSED,,5,,,,,,,,,
L22,,,VCCAUX,,,,,,,,2.5,,,,
L23,TDC2_TRG<3>,IOB,IO_L29P_A23_M1A13_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L24,TDC4_TRG<3>,IOB,IO_L29N_A22_M1A14_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L25,WL_CLK_P<7>,IOB,IO_L24P_M5DQ12_5,OUTPUT,BLVDS_25,5,,,,,,LOCATED,YES,NONE,
L26,WL_CLK_N<7>,IOB,IO_L24N_M5DQ13_5,OUTPUT,BLVDS_25,5,,,,,,LOCATED,YES,NONE,
M1,BUSB_RD_COLSEL_S<1>,IOB,IO_L60N_M4DQ13_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
M2,,,VCCO_4,,,4,,,,,2.50,,,,
M3,SAMPLESEL_ANY<0>,IOB,IO_L60P_M4DQ12_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
M4,SHOUT<0>,IOB,IO_L58P_4,INPUT,LVCMOS25*,4,,,,NONE,,LOCATED,NO,NONE,
M5,,,GND,,,,,,,,,,,,
M6,BUSA_DO<10>,IOB,IO_L72N_M4ODT_4,INPUT,LVCMOS25*,4,,,,NONE,,LOCATED,NO,NONE,
M7,,,VCCO_4,,,4,,,,,2.50,,,,
M8,BUSA_SR_SEL,IOB,IO_L72P_M4A3_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
M9,BUSA_DO<6>,IOB,IO_L57N_VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
M10,BUSA_DO<7>,IOB,IO_L57P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
M11,,,VCCINT,,,,,,,,1.2,,,,
M12,,,VCCINT,,,,,,,,1.2,,,,
M13,,,VCCINT,,,,,,,,1.2,,,,
M14,,,VCCINT,,,,,,,,1.2,,,,
M15,,,VCCINT,,,,,,,,1.2,,,,
M16,,,VCCINT,,,,,,,,1.2,,,,
M17,,,VCCAUX,,,,,,,,2.5,,,,
M18,,IOBM,IO_L13P_M5A5_5,UNUSED,,5,,,,,,,,,
M19,,IOBS,IO_L13N_M5A6_5,UNUSED,,5,,,,,,,,,
M20,,,VCCO_5,,,5,,,,,2.50,,,,
M21,,IOBM,IO_L26P_5,UNUSED,,5,,,,,,,,,
M22,,,GND,,,,,,,,,,,,
M23,,IOBS,IO_L26N_VREF_5,UNUSED,,5,,,,,,,,,
M24,,IOBM,IO_L23P_M5UDQS_5,UNUSED,,5,,,,,,,,,
M25,,,VCCO_5,,,5,,,,,2.50,,,,
M26,PCLK<15>,IOB,IO_L23N_M5UDQSN_5,OUTPUT,LVCMOS25*,5,12,SLOW,,,,LOCATED,NO,NONE,
N1,BUSB_RD_COLSEL_S<4>,IOB,IO_L59N_M4DQ15_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
N2,SAMPLESEL_ANY<15>,IOB,IO_L59P_M4DQ14_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,LOCATED,NO,NONE,
N3,BUSA_DO<8>,IOB,IO_L58N_VREF_4,INPUT,LVCMOS25*,4,,,,NONE,,LOCATED,NO,NONE,
N4,WL_CLK_N<4>,IOB,IO_L54N_M3A11_3,OUTPUT,BLVDS_25,3,,,,,,LOCATED,YES,NONE,
N5,WL_CLK_P<4>,IOB,IO_L54P_M3RESET_3,OUTPUT,BLVDS_25,3,,,,,,LOCATED,YES,NONE,
N6,BUSB_RAMP,IOB,IO_L49P_M3A7_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
N7,SSTIN_N<4>,IOB,IO_L51N_M3A4_3,OUTPUT,BLVDS_25,3,,,,,,LOCATED,NO,NONE,
N8,SSTIN_P<4>,IOB,IO_L51P_M3A10_3,OUTPUT,BLVDS_25,3,,,,,,LOCATED,NO,NONE,
N9,BUSB_RD_COLSEL_S<2>,IOB,IO_L55N_M3A14_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
N10,,,VCCAUX,,,,,,,,2.5,,,,
N11,,,GND,,,,,,,,,,,,
N12,,,VCCINT,,,,,,,,1.2,,,,
N13,,,VCCINT,,,,,,,,1.2,,,,
N14,,,GND,,,,,,,,,,,,
N15,,,VCCINT,,,,,,,,1.2,,,,
N16,,,VCCINT,,,,,,,,1.2,,,,
N17,TDC4_TRG<1>,IOB,IO_L28P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N18,TDC4_TRG<2>,IOB,IO_L28N_VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N19,TDC2_TRG<1>,IOB,IO_L30P_A21_M1RESET_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N20,TDC2_TRG<2>,IOB,IO_L30N_A20_M1A11_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N21,TDC2_TRG<4>,IOB,IO_L31P_A19_M1CKE_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N22,TDC4_TRG<4>,IOB,IO_L31N_A18_M1A12_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N23,TDC6_TRG<2>,IOB,IO_L33P_A15_M1A10_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N24,TDC6_TRG<3>,IOB,IO_L33N_A14_M1A4_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N25,SSTIN_P<7>,IOB,IO_L25P_M5DQ14_5,OUTPUT,BLVDS_25,5,,,,,,LOCATED,NO,NONE,
N26,SSTIN_N<7>,IOB,IO_L25N_M5DQ15_5,OUTPUT,BLVDS_25,5,,,,,,LOCATED,NO,NONE,
P1,TOP_AMUX_S<3>,IOB,IO_L48N_M3BA1_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P2,,,GND,,,,,,,,,,,,
P3,PCLK<12>,IOB,IO_L48P_M3BA0_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P4,,,VCCO_3,,,3,,,,,2.50,,,,
P5,SCLK<3>,IOB,IO_L50P_M3WE_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P6,TDC9_TRG<0>,IOB,IO_L49N_M3A2_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P7,,,GND,,,,,,,,,,,,
P8,SAMPLESEL_ANY<8>,IOB,IO_L53N_M3A12_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P9,,,VCCO_3,,,3,,,,,2.50,,,,
P10,SIN<2>,IOB,IO_L55P_M3A13_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P11,,,VCCINT,,,,,,,,1.2,,,,
P12,,,VCCINT,,,,,,,,1.2,,,,
P13,,,GND,,,,,,,,,,,,
P14,,,VCCINT,,,,,,,,1.2,,,,
P15,,,VCCINT,,,,,,,,1.2,,,,
P16,,,GND,,,,,,,,,,,,
P17,TDC6_TRG<1>,IOB,IO_L32P_A17_M1A8_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P18,,,VCCO_1,,,1,,,,,2.50,,,,
P19,TDC3_TRG<0>,IOB,IO_L32N_A16_M1A9_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P20,,,GND,,,,,,,,,,,,
P21,TDC10_TRG<2>,IOB,IO_L35P_A11_M1A7_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P22,TDC10_TRG<3>,IOB,IO_L35N_A10_M1A2_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P23,,,VCCO_1,,,1,,,,,2.50,,,,
P24,TDC8_TRG<2>,IOB,IO_L37P_A7_M1A0_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P25,,,GND,,,,,,,,,,,,
P26,PCLK<13>,IOB,IO_L37N_A6_M1A1_1,OUTPUT,LVCMOS25*,1,12,SLOW,,,,LOCATED,NO,NONE,
R1,TOP_AMUX_S<2>,IOB,IO_L44N_GCLK20_M3A6_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
R2,TDC11_TRG<0>,IOB,IO_L44P_GCLK21_M3A5_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
R3,SHOUT<3>,IOB,IO_L52N_M3A9_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
R4,SAMPLESEL_ANY<14>,IOB,IO_L52P_M3A8_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
R5,TDC16_TRG<0>,IOB,IO_L50N_M3BA2_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
R6,WR1_ENA<3>,IOB,IO_L43N_GCLK22_IRDY2_M3CASN_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
R7,PCLK<14>,IOB,IO_L43P_GCLK23_M3RASN_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
R8,TDC15_TRG<0>,IOB,IO_L45P_M3A3_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
R9,BUSB_RD_COLSEL_S<3>,IOB,IO_L53P_M3CKE_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
R10,BUSB_RD_COLSEL_S<5>,IOB,IO_L47P_M3A0_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
R11,,,VCCINT,,,,,,,,1.2,,,,
R12,,,VCCINT,,,,,,,,1.2,,,,
R13,,,VCCINT,,,,,,,,1.2,,,,
R14,,,VCCINT,,,,,,,,1.2,,,,
R15,,,VCCINT,,,,,,,,1.2,,,,
R16,,,VCCINT,,,,,,,,1.2,,,,
R17,,,VCCINT,,,,,,,,1.2,,,,
R18,TDC6_TRG<4>,IOB,IO_L34P_A13_M1WE_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
R19,TDC10_TRG<1>,IOB,IO_L34N_A12_M1BA2_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
R20,TDC8_TRG<3>,IOB,IO_L36P_A9_M1BA0_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
R21,TDC8_TRG<1>,IOB,IO_L36N_A8_M1BA1_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
R22,,,VCCAUX,,,,,,,,2.5,,,,
R23,TDC10_TRG<4>,IOB,IO_L38P_A5_M1CLK_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
R24,TDC8_TRG<4>,IOB,IO_L38N_A4_M1CLKN_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
R25,TDC9_TRG<1>,IOB,IO_L41P_GCLK9_IRDY1_M1RASN_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
